Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,PR-AUC
Random Forest,0.9540 ± 0.0025,0.6927 ± 0.0297,0.6647 ± 0.0239,0.6775 ± 0.0106,0.9385 ± 0.0038,0.7327 ± 0.0142
XGBoost,0.9649 ± 0.0012,0.8314 ± 0.0293,0.6511 ± 0.0291,0.7292 ± 0.0111,0.9474 ± 0.0047,0.7858 ± 0.0092
DNN (MLP),0.9470 ± 0.0028,0.6607 ± 0.0365,0.5675 ± 0.0322,0.6087 ± 0.0042,0.9032 ± 0.0096,0.6397 ± 0.0111
SVM (RBF),0.9252 ± 0.0115,0.5121 ± 0.0759,0.5654 ± 0.0789,0.5266 ± 0.0134,0.8983 ± 0.0141,0.5242 ± 0.0423
DPCT (Ours),0.9574 ± 0.0025,0.7104 ± 0.0305,0.7033 ± 0.0176,0.7061 ± 0.0102,0.9517 ± 0.0035,0.7687 ± 0.0092
